link,player,season,age,tm,lg,pos,g,gs,FirstSeasonMP,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,SeasonNumber_1,SeasonNumberAdj,CumSumSeasonAdj,SeasonNumber,mp,games,games_started,NumberOfSeasons,status,LastSeason,DraftYear,PickNumber,Team,College,wprev,w_lpercentprev,wcur,w_lpercentcur
/players/b/burkepa01.html,Pat Burke,2002-03,29,ORL,NBA,C,62,8,12.6,1.8,4.8,0.382,0,0.1,0.143,1.8,4.7,0.388,0.383,0.6,0.9,0.69,0.9,1.4,2.4,0.4,0.3,0.4,0.8,1.6,4.3,1,0,0,1,1288.8999999999999,127,8,3,2,2006-07,NA,61,NA,NA,40.2,0.5428,40.4,0.5452
/players/b/butleca01.html,Caron Butler,2002-03,22,MIA,NBA,SF,78,78,36.6,5.5,13.2,0.416,0.4,1.4,0.318,5.1,11.9,0.427,0.432,4,4.8,0.824,1.7,3.4,5.1,2.7,1.8,0.4,2.5,2.9,15.4,1,0,0,1,28336.3,881,732,14,2,2015-16,2002,10,MIA,UConn,44.8,0.6028,38.8,0.5296
/players/b/butlera01.html,Rasual Butler,2002-03,23,MIA,NBA,SG,72,28,21,2.9,7.9,0.362,0.7,2.4,0.292,2.2,5.6,0.392,0.406,1.1,1.4,0.731,0.4,2.2,2.6,1.3,0.3,0.6,1.1,1.5,7.5,1,0,0,1,17220.2,809,266,13,2,2015-16,2002,53,MIA,La Salle,44.8,0.6028,38.8,0.5296
/players/c/caffeja01.html,Jason Caffey,1995-96,22,CHI,NBA,PF,57,0,9.6,1.2,2.8,0.438,0,0,0,1.2,2.8,0.441,0.438,0.7,1.2,0.588,0.9,1.1,1.9,0.4,0.2,0.1,0.8,1.6,3.2,1,0,0,1,9043.8,462,170,8,2,2002-03,1995,20,CHI,Alabama,57.4,0.7,59.6,0.7268
/players/c/cambyma01.html,Marcus Camby,1996-97,22,TOR,NBA,C,63,38,30.1,6,12.3,0.482,0,0.2,0.143,5.9,12.1,0.488,0.483,2.9,4.2,0.693,2.1,4.2,6.3,1.5,1,2.1,2.1,3.4,14.8,1,0,0,1,28673.6,973,786,17,2,2012-13,1996,2,TOR,UMass,NA,NA,NA,NA
/players/c/campbel01.html,Elden Campbell,1990-91,22,LAL,NBA,PF,52,0,7.3,1.1,2.4,0.455,0,0,NA,1.1,2.4,0.455,0.455,0.6,0.9,0.653,0.8,1.1,1.8,0.2,0.2,0.7,0.3,1.4,2.8,1,0,0,1,25764.899999999998,1044,671,15,2,2004-05,1990,27,LAL,Clemson,61.2,0.7462,60.4,0.7364
/players/c/cardibr01.html,Brian Cardinal,2000-01,23,DET,NBA,PF,15,0,8.4,0.7,2.1,0.323,0,0.3,0,0.7,1.7,0.385,0.323,0.7,1.2,0.611,0.5,1,1.5,0.2,0.5,0.1,0.6,1.8,2.1,1,0,0,1,6476.7,456,37,12,2,2011-12,2000,44,DET,Purdue,41.2,0.5514,38.4,0.5172
/players/c/cartean01.html,Anthony Carter,1999-00,24,MIA,NBA,PG,79,30,23.5,2.5,6.4,0.395,0,0.3,0.13,2.5,6.2,0.407,0.398,1.2,1.6,0.75,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,1,0,0,1,12172.5,623,181,13,2,2011-12,NA,61,NA,NA,44.2,0.5954,48.2,0.6442
/players/c/cartevi01.html,Vince Carter,1998-99,22,TOR,NBA,SF,50,49,35.2,6.9,15.3,0.45,0.4,1.3,0.288,6.5,14,0.466,0.463,4.1,5.4,0.761,1.9,3.8,5.7,3,1.1,1.5,2.2,2.8,18.3,1,0,0,1,46362.5,1541,983,22,1,2019-20,1998,5,GSW,UNC,NA,NA,NA,NA
/players/c/cassesa01.html,Sam Cassell,1993-94,24,HOU,NBA,PG,66,6,17,2.5,5.9,0.418,0.4,1.3,0.295,2.1,4.5,0.453,0.451,1.4,1.6,0.841,0.4,1.7,2,2.9,0.9,0.1,1.4,2.1,6.7,1,0,0,1,29811.5,993,690,14,2,2007-08,1993,24,HOU,Florida State,47,0.5732,49.6,0.6048
